"sample","total.leaf.area"
"EROR_10_AA",51.482
"EROR_10_BA",132.832
"EROR_10_CA",88.554
"EROR_12_AA",36.874
"EROR_12_BA",76.078
"EROR_12_CA",85.396
"EROR_13_AA",79.936
"EROR_13_BA",67.538
"EROR_13_CA",28.877
"EROR_15_AA",24.858
"EROR_15_BA",30.225
"EROR_15_CA",49.05
"EROR_3_AA",16.007
"EROR_3_BA",56.496
"EROR_3_CA",31.076
"EROR_4_AA",31.426
"EROR_4_BA",30.622
"EROR_4_CA",31.234
"EROR_5_AA",18.619
"EROR_5_BA",36.17
"EROR_5_CA",45.963
"EROR_8_AA",27.88
"EROR_8_BA",39.997
"EROR_8_CA",49.143
"EROR_9_AA",31.125
"EROR_9_BA",39.103
"EROR_9_CA",26.106
