"sample","total.leaf.area"
"ALAM_6_AA",7.409
"ALAM_6_AB",17.419
"ALAM_6_AC",15.416
"ALAM_6_BA",7.629
"ALAM_6_BB",13.401
"ALAM_6_BC",3.585
"ALAM_6_CA",13.971
"ALAM_6_CB",7.834
"ALAM_6_CC",8.838
"ALAM_7_AA",5.562
"ALAM_7_AB",5.162
"ALAM_7_AC",8.624
"ALAM_7_BA",6.194
"ALAM_7_BB",8.201
"ALAM_7_BC",10.092
"ALAM_7_CA",8.629
"ALAM_7_CB",11.244
"ALAM_7_CC",11.067
"ALAM_8_AA",19.574
"ALAM_8_AB",12.52
"ALAM_8_AC",10.159
"ALAM_8_BA",16.985
"ALAM_8_BB",8.869
"ALAM_8_BC",16.276
"ALAM_8_CA",12.725
"ALAM_8_CB",10.224
"ALAM_8_CC",16.128
"ANOD_1_AA",7.671
"ANOD_1_AB",6.566
"ANOD_1_AC",13.949
"ANOD_10_AA",5.441
"ANOD_10_AB",10.898
"ANOD_10_AC",6.065
"ANOD_11_AA",1.666
"ANOD_11_AB",6.583
"ANOD_11_AC",5.195
"ANOD_12_AA",1.012
"ANOD_12_AB",2.982
"ANOD_12_AC",2.824
"ANOD_14_AA",2.389
"ANOD_14_AB",6.698
"ANOD_14_BA",4.174
"ANOD_14_BB",2.572
"ANOD_2_AA",4.337
"ANOD_2_AB",3.218
"ANOD_2_AC",1.645
"ANOD_3_AA",8.896
"ANOD_3_AB",7.633
"ANOD_3_AC",3.476
"ANOD_6_AA",5.649
"ANOD_6_AB",3.709
"ANOD_6_AC",6.221
"ANOD_7_AA",0.689
"ANOD_7_AB",3.276
"ANOD_7_AC",4.026
"BEAQ_11_AA",9.474
"BEAQ_11_AB",10.659
"BEAQ_11_AC",10.504
"BEAQ_13_AA",9.67
"BEAQ_13_AB",8.763
"BEAQ_13_AC",10.075
"BEAQ_15_AA",11.243
"BEAQ_15_AB",11.53
"BEAQ_15_AC",9.965
"BEAQ_15_BA",13.476
"BEAQ_15_BB",13.585
"BEAQ_15_BC",20.47
"BEAQ_15_CA",20.828
"BEAQ_15_CB",16.904
"BEAQ_15_CC",12.715
"BEAQ_3_AA",10.153
"BEAQ_3_AB",11.392
"BEAQ_3_AC",8.891
"BEAQ_4_AA",13.88
"BEAQ_4_AB",12.735
"BEAQ_4_AC",11.747
