"Plant Species","plot","Plant ID","leaf_ids","tot.weight","trt","sampleID"
"ALAM",6,"A","""A"", ""B"", ""C""",137.12,"irrigated","ALAM_6_A"
"ALAM",6,"B","""A"", ""B"", ""C""",67.86,"irrigated","ALAM_6_B"
"ALAM",6,"C","""A"", ""B"", ""C""",111.42,"irrigated","ALAM_6_C"
"ALAM",7,"A","""A"", ""B"", ""C""",51.43,"drought","ALAM_7_A"
"ALAM",7,"B","""A"", ""B"", ""C""",58.27,"drought","ALAM_7_B"
"ALAM",7,"C","""A"", ""B"", ""C""",95.97,"drought","ALAM_7_C"
"ALAM",8,"A","""A"", ""B"", ""C""",142.34,"control","ALAM_8_A"
"ALAM",8,"B","""A"", ""B"", ""C""",136.07,"control","ALAM_8_B"
"ALAM",8,"C","""A"", ""B"", ""C""",142.92,"control","ALAM_8_C"
"ANOD",1,"A","""A"", ""B"", ""C""",68.84,"irrigated","ANOD_1_A"
"ANOD",2,"A","""A"", ""B"", ""C""",30.67,"control","ANOD_2_A"
"ANOD",3,"A","""A"", ""B"", ""C""",61.76,"control","ANOD_3_A"
"ANOD",6,"A","""A"", ""B"", ""C""",32.53,"irrigated","ANOD_6_A"
"ANOD",7,"A","""A"", ""B"", ""C""",14.52,"drought","ANOD_7_A"
"ANOD",10,"A","""A"", ""B"", ""C""",56.95,"drought","ANOD_10_A"
"ANOD",11,"A","""A"", ""B"", ""C""",39.18,"control","ANOD_11_A"
"ANOD",12,"A","""A"", ""B"", ""C""",18.47,"irrigated","ANOD_12_A"
"ANOD",14,"A","""A"", ""B""",20.35,"drought","ANOD_14_A"
"ANOD",14,"B","""A"", ""B""",20.44,"drought","ANOD_14_B"
"BEAQ",3,"A","""A"", ""B"", ""C""",233.92,"control","BEAQ_3_A"
"BEAQ",4,"A","""A"", ""B"", ""C""",356.98,"irrigated","BEAQ_4_A"
"BEAQ",4,"B","""A"", ""B"", ""C""",365.83,"irrigated","BEAQ_4_B"
"BEAQ",9,"A","""A"", ""B"", ""C""",315.25,"irrigated","BEAQ_9_A"
"BEAQ",11,"A","""A"", ""B"", ""C""",276.83,"control","BEAQ_11_A"
"BEAQ",13,"A","""A"", ""B"", ""C""",239.82,"control","BEAQ_13_A"
"BEAQ",15,"A","""A"", ""B"", ""C""",241.05,"drought","BEAQ_15_A"
"BEAQ",15,"B","""A"", ""B"", ""C""",393.82,"drought","BEAQ_15_B"
"BEAQ",15,"C","""A"", ""B"", ""C""",391.59,"drought","BEAQ_15_C"
"BRCA",2,"A","""A"", ""B"", ""C""",89.02,"control","BRCA_2_A"
"BRCA",2,"B","""A"", ""B"", ""C""",197.87,"control","BRCA_2_B"
"BRCA",4,"A","""A"", ""B"", ""C""",197.11,"irrigated","BRCA_4_A"
"BRCA",4,"B","""A"", ""B"", ""C""",171.31,"irrigated","BRCA_4_B"
"BRCA",8,"A","""A"", ""B"", ""C""",275.76,"control","BRCA_8_A"
"BRCA",9,"A","""A"", ""B"", ""C""",361.03,"irrigated","BRCA_9_A"
"BRCA",10,"A","""A"", ""B"", ""C""",145.68,"drought","BRCA_10_A"
"BRCA",14,"A","""A"", ""B"", ""C""",119.39,"drought","BRCA_14_A"
"BRCA",14,"B","""A"", ""B"", ""C""",173.21,"drought","BRCA_14_B"
"BRHO",1,"A","""A"", ""B"", ""C""",39.63,"irrigated","BRHO_1_A"
"BRHO",1,"B","""A"", ""B"", ""C""",27.11,"irrigated","BRHO_1_B"
"BRHO",1,"C","""A"", ""B"", ""C""",43.94,"irrigated","BRHO_1_C"
"BRHO",2,"A","""A"", ""B"", ""C""",9.4,"control","BRHO_2_A"
"BRHO",2,"B","""A"", ""B"", ""C""",15.79,"control","BRHO_2_B"
"BRHO",2,"C","""A"", ""B"", ""C""",10.13,"control","BRHO_2_C"
"BRHO",7,"A","""A"", ""B"", ""C""",15.99,"drought","BRHO_7_A"
"BRHO",7,"B","""A"", ""B"", ""C""",13.2,"drought","BRHO_7_B"
"BRHO",7,"C","""A"", ""B"", ""C""",26.72,"drought","BRHO_7_C"
"BRST",1,"A","""A"", ""B"", ""C""",15.84,"irrigated","BRST_1_A"
"BRST",2,"A","""A"", ""B"", ""C""",33.12,"control","BRST_2_A"
"BRST",3,"A","""A"", ""B""",32.25,"control","BRST_3_A"
"BRST",6,"A","""A"", ""B"", ""C""",30.12,"irrigated","BRST_6_A"
"BRST",7,"A","""A"", ""B"", ""C""",52.74,"drought","BRST_7_A"
"BRST",9,"A","""A"", ""B"", ""C""",41.44,"irrigated","BRST_9_A"
"BRST",10,"A","""A"", ""B"", ""C""",47.02,"drought","BRST_10_A"
"BRST",13,"A","""A"", ""B"", ""C"", ""D""",22.02,"control","BRST_13_A"
"BRST",14,"A","""A"", ""B"", ""C""",21.37,"drought","BRST_14_A"
"CAIN",5,"A","A",41.36,"drought","CAIN_5_A"
"CAIN",11,"A","""A"", ""B"", ""C""",49.87,"control","CAIN_11_A"
"CAIN",11,"B","""A"", ""B"", ""C""",63.3,"control","CAIN_11_B"
"CAIN",11,"C","A",50.78,"control","CAIN_11_C"
"CAIN",12,"A","""A"", ""B"", ""C""",108.83,"irrigated","CAIN_12_A"
"CAIN",12,"B","""A"", ""B"", ""C""",116,"irrigated","CAIN_12_B"
"CAIN",12,"C","""A"", ""B"", ""C""",64.36,"irrigated","CAIN_12_C"
"CAIN",13,"A","""A"", ""B"", ""C""",64.34,"control","CAIN_13_A"
"CAIN",14,"A","""A"", ""B"", ""C""",94.58,"drought","CAIN_14_A"
"CAIN",14,"B","""A"", ""B"", ""C""",55.12,"drought","CAIN_14_B"
"CAIN",14,"C","""A"", ""B"", ""C""",100.87,"drought","CAIN_14_C"
"CAQU",1,"A","""A"", ""B"", ""C""",209.45,"irrigated","CAQU_1_A"
"CAQU",1,"B","""A"", ""B"", ""C""",360.25,"irrigated","CAQU_1_B"
"CAQU",2,"A","""A"", ""B"", ""C""",259.5,"control","CAQU_2_A"
"CAQU",2,"B","""A"", ""B"", ""C""",226.64,"control","CAQU_2_B"
"CAQU",5,"A","""A"", ""B"", ""C""",309.93,"drought","CAQU_5_A"
"CAQU",7,"A","""A"", ""B"", ""C""",585.73,"drought","CAQU_7_A"
"CAQU",7,"B","""A"", ""B"", ""C""",363.94,"drought","CAQU_7_B"
"CAQU",9,"A","""A"", ""B"", ""C""",759.03,"irrigated","CAQU_9_A"
