,Species Name,Month,Day,Notes from Jenna,Notes after in the field
,Primula hendersonii,April,18,*,sampled
,Erythronium oregonum,April,18,*,sampled
,Allium amplectens,April,19,,sampled
,Claytonia perfoliata,April,19,wont be fully expanded,sampled
,Plectritis congesta,April,20,wont be fully expanded,
,Camassia quamash,April,20,,
,Lomatium utriculatum,April,21,,
,Geranium molle,April,21,wont be fully expanded,
,Cerastium glomeratum,April,22,,
,Veronica arvensis,April,22,wont be fully expanded,
,Sanicula crassicaulis,April,23,,could sample in spring?
,Galium aparine,April,23,wont be fully expanded,
,Valerianella locusta,April,24,wont be fully expanded,
,Vicia hirsuta,April,24,wont be able to tell apart,
,Vicia sativa,April,25,wont be able to tell apart,
,Nemophila parviflora,April,25,wont be fully expanded,
,,May,13,,
,,May,13,,
,,May,14,,
,,May,14,,
,,May,15,,
,,May,15,,
,Lathyrus sphaericus,May,16,,
,Delphinium menziesii,May,16,,
,Ranunculus occidentalis,May,17,,could sample in spring?
GL,Luzula sp.,May,17,,
GL,Carex inops,May,18,,
,,May,18,,
SH,Symphoricarpos albus,May,19,,
SH,Berberis aquifolium,May,19,,
GR,Dactylis glomerata,May,20,,
GR,Poa pratensis,May,20,,
GR,Anthoxanthum odoratum,May,21,,
GR,Melica subulata,May,21,,
GR,Bromus sterilis,May,22,,
GR,Bromus carinatus,May,23,,
GR,Bromus hordeaceus,May,23,,
GR,Elymus glaucus,May,24,,
GR,Vulpia sp.,May,24,,
,,,,,
,grasses?,June,,,
