site,plot,subplot,taxa,cover,date,note_cover
Cowichan,1,A,Bare Soil,0,2020,
Cowichan,1,A,Moss,20,2020,
Cowichan,1,A,Litter,15,2020,
Cowichan,1,A,Anthoxanthum odoratum,15,2020,
Cowichan,1,A,Bromus carinatus,1,2020,
Cowichan,1,A,Bromus sterilis,1,2020,
Cowichan,1,A,Carex inops,2,2020,
Cowichan,1,A,Dactylis glomerata,1,2020,
Cowichan,1,A,Camassia quamash,25,2020,
Cowichan,1,A,Cerastium arvense,2,2020,
Cowichan,1,A,Cerastium glomeratum,1,2020,
Cowichan,1,A,Collinsia parviflora,1,2020,
Cowichan,1,A,Delphinium menziesii,3,2020,
Cowichan,1,A,Dodecatheon hendersonii,15,2020,
Cowichan,1,A,Erythronium oregonum,2,2020,
Cowichan,1,A,Galium aparine,1,2020,
Cowichan,1,A,Geranium molle,8,2020,
Cowichan,1,A,Lomatium utriculatum,3,2020,
Cowichan,1,A,Myosotis discolor,1,2020,
Cowichan,1,A,Plectritis congesta,3,2020,
Cowichan,1,A,Ranunculus occidentalis,5,2020,
Cowichan,1,A,Valerianella locusta,2,2020,
Cowichan,1,A,Veronica arvensis,2,2020,
Cowichan,1,A,Vicia hirsuta,2,2020,
Cowichan,1,A,Vicia sativa,1,2020,
Cowichan,1,A,Leucanthemum vulgare,15,2020,
Cowichan,2,A,Bare Soil,0,2020,
Cowichan,2,A,Moss,10,2020,
Cowichan,2,A,Litter,30,2020,
Cowichan,2,A,Bromus sterilis,1,2020,
Cowichan,2,A,Carex inops,10,2020,
Cowichan,2,A,Dactylis glomerata,7,2020,
Cowichan,2,A,Poa pratensis,2,2020,
Cowichan,2,A,Camassia quamash,5,2020,
Cowichan,2,A,Cerastium arvense,1,2020,
Cowichan,2,A,Cerastium glomeratum,1,2020,
Cowichan,2,A,Claytonia perfoliata,1,2020,
Cowichan,2,A,Delphinium menziesii,2,2020,
Cowichan,2,A,Dodecatheon hendersonii,5,2020,
Cowichan,2,A,Erythronium oregonum,1,2020,
Cowichan,2,A,Galium aparine,2,2020,
Cowichan,2,A,Geranium molle,15,2020,
Cowichan,2,A,Lomatium utriculatum,5,2020,
Cowichan,2,A,Plectritis congesta,5,2020,
Cowichan,2,A,Ranunculus occidentalis,2,2020,
Cowichan,2,A,Sanicula crassicaulis,1,2020,
Cowichan,2,A,Trifolium dubium,1,2020,
Cowichan,2,A,Valerianella locusta,5,2020,
Cowichan,2,A,Veronica arvensis,1,2020,
Cowichan,2,A,Vicia hirsuta,1,2020,
Cowichan,2,A,Vicia sativa,2,2020,
Cowichan,3,A,Bare Soil,0,2020,
Cowichan,3,A,Moss,10,2020,
Cowichan,3,A,Litter,20,2020,
Cowichan,3,A,Anthoxanthum odoratum,1,2020,
Cowichan,3,A,Bromus sterilis,15,2020,
Cowichan,3,A,Dactylis glomerata,25,2020,
Cowichan,3,A,Melica subulata,10,2020,
Cowichan,3,A,Poa pratensis,5,2020,
Cowichan,3,A,Cerastium glomeratum,1,2020,
Cowichan,3,A,Delphinium menziesii,5,2020,
Cowichan,3,A,Erythronium oregonum,1,2020,
Cowichan,3,A,Galium aparine,1,2020,
Cowichan,3,A,Geranium molle,3,2020,
Cowichan,3,A,Nemophila parviflora,1,2020,
Cowichan,3,A,Plectritis congesta,8,2020,
Cowichan,3,A,Valerianella locusta,2,2020,
Cowichan,3,A,Veronica arvensis,1,2020,
Cowichan,3,A,Vicia sativa,1,2020,
Cowichan,3,A,Quercus garryana,4,2020,
Cowichan,3,A,Symphoricarpos albus,7,2020,
Cowichan,4,A,Bare Soil,0,2020,
Cowichan,4,A,Moss,5,2020,
Cowichan,4,A,Litter,25,2020,
Cowichan,4,A,Anthoxanthum odoratum,5,2020,
Cowichan,4,A,Bromus sterilis,25,2020,
Cowichan,4,A,Dactylis glomerata,5,2020,
Cowichan,4,A,Melica subulata,5,2020,
Cowichan,4,A,Poa pratensis,3,2020,
Cowichan,4,A,Cerastium glomeratum,2,2020,
Cowichan,4,A,Erythronium oregonum,1,2020,
Cowichan,4,A,Geranium molle,10,2020,
Cowichan,4,A,Lathyrus sphaericus,1,2020,
Cowichan,4,A,Lomatium utriculatum,5,2020,
Cowichan,4,A,Ranunculus occidentalis,1,2020,
Cowichan,4,A,Sanicula crassicaulis,3,2020,
Cowichan,4,A,Valerianella locusta,1,2020,
Cowichan,4,A,Veronica arvensis,1,2020,
Cowichan,4,A,Vicia hirsuta,1,2020,
Cowichan,4,A,Vicia sativa,5,2020,
Cowichan,4,A,Symphoricarpos albus,8,2020,
Cowichan,5,A,Bare Soil,0,2020,
Cowichan,5,A,Moss,5,2020,
Cowichan,5,A,Litter,30,2020,
Cowichan,5,A,Anthoxanthum odoratum,5,2020,
Cowichan,5,A,Bromus carinatus,15,2020,
Cowichan,5,A,Bromus sterilis,20,2020,
Cowichan,5,A,Carex inops,4,2020,
Cowichan,5,A,Camassia quamash,2,2020,
Cowichan,5,A,Cardamine oligosperma,1,2020,
Cowichan,5,A,Cerastium glomeratum,1,2020,
Cowichan,5,A,Delphinium menziesii,2,2020,
Cowichan,5,A,Dodecatheon hendersonii,2,2020,
Cowichan,5,A,Erythronium oregonum,2,2020,
Cowichan,5,A,Geranium molle,3,2020,
Cowichan,5,A,Lomatium utriculatum,4,2020,
Cowichan,5,A,Plectritis congesta,8,2020,
Cowichan,5,A,Ranunculus occidentalis,1,2020,
Cowichan,5,A,Valerianella locusta,1,2020,
Cowichan,5,A,Veronica arvensis,1,2020,
Cowichan,5,A,Vicia hirsuta,1,2020,
Cowichan,5,A,Vicia sativa,1,2020,
Cowichan,5,A,Quercus garryana,5,2020,
Cowichan,5,A,Symphoricarpos albus,12,2020,
Cowichan,6,A,Bare Soil,0,2020,
Cowichan,6,A,Moss,2,2020,
Cowichan,6,A,Litter,5,2020,
Cowichan,6,A,Anthoxanthum odoratum,5,2020,
Cowichan,6,A,Bromus sterilis,20,2020,
Cowichan,6,A,Melica subulata,6,2020,
Cowichan,6,A,Poa pratensis,1,2020,
Cowichan,6,A,Achillea millefolium,5,2020,
Cowichan,6,A,Camassia quamash,2,2020,
Cowichan,6,A,Cerastium glomeratum,1,2020,
Cowichan,6,A,Claytonia perfoliata,1,2020,
Cowichan,6,A,Delphinium menziesii,5,2020,
Cowichan,6,A,Dodecatheon hendersonii,10,2020,
Cowichan,6,A,Erythronium oregonum,2,2020,
Cowichan,6,A,Geranium molle,5,2020,
Cowichan,6,A,Lomatium utriculatum,7,2020,
Cowichan,6,A,Nemophila parviflora,1,2020,
Cowichan,6,A,Plectritis congesta,40,2020,
Cowichan,6,A,Ranunculus occidentalis,2,2020,
Cowichan,6,A,Sanicula crassicaulis,2,2020,
Cowichan,6,A,Veronica arvensis,1,2020,
Cowichan,6,A,Symphoricarpos albus,3,2020,
Cowichan,6,A,Toxicoscordion venenosum,1,2020,
Cowichan,7,A,Bare Soil,0,2020,
Cowichan,7,A,Moss,10,2020,
Cowichan,7,A,Litter,10,2020,
Cowichan,7,A,Anthoxanthum odoratum,7,2020,
Cowichan,7,A,Bromus carinatus,1,2020,
Cowichan,7,A,Bromus sterilis,1,2020,
Cowichan,7,A,Melica subulata,20,2020,
Cowichan,7,A,Poa pratensis,2,2020,
Cowichan,7,A,Cardamine oligosperma,1,2020,
Cowichan,7,A,Cerastium glomeratum,3,2020,
Cowichan,7,A,Claytonia perfoliata,1,2020,
Cowichan,7,A,Delphinium menziesii,4,2020,
Cowichan,7,A,Dodecatheon hendersonii,3,2020,
Cowichan,7,A,Erythronium oregonum,2,2020,
Cowichan,7,A,Galium aparine,3,2020,
Cowichan,7,A,Geranium molle,3,2020,
Cowichan,7,A,Lomatium utriculatum,3,2020,
Cowichan,7,A,Myosotis discolor,1,2020,
Cowichan,7,A,Nemophila parviflora,1,2020,
Cowichan,7,A,Plectritis congesta,20,2020,
Cowichan,7,A,Ranunculus occidentalis,1,2020,
Cowichan,7,A,Valerianella locusta,1,2020,
Cowichan,7,A,Vicia hirsuta,1,2020,
Cowichan,7,A,Vicia sativa,1,2020,
Cowichan,7,A,Symphoricarpos albus,4,2020,
Cowichan,8,A,Bare Soil,0,2020,
Cowichan,8,A,Moss,8,2020,
Cowichan,8,A,Litter,5,2020,
Cowichan,8,A,Bromus sterilis,2,2020,
Cowichan,8,A,Dactylis glomerata,6,2020,
Cowichan,8,A,Melica subulata,5,2020,
Cowichan,8,A,Poa pratensis,2,2020,
Cowichan,8,A,Camassia quamash,2,2020,
Cowichan,8,A,Cerastium glomeratum,1,2020,
Cowichan,8,A,Claytonia perfoliata,1,2020,
Cowichan,8,A,Delphinium menziesii,2,2020,
Cowichan,8,A,Galium aparine,3,2020,
Cowichan,8,A,Geranium molle,8,2020,
Cowichan,8,A,Nemophila parviflora,1,2020,
Cowichan,8,A,Plectritis congesta,10,2020,
